reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,clean_text
71f087c8-01fd-49c0-bd0a-b4b3ab22fd06,Arman Wijaya (ARYA),tambahkan fitur widget,3,0,4.9.7,1/26/2026 5:19,tambah fitur widget
b7ed3804-727e-43c6-a9d3-cd57fba2190f,SHANAZ ALIFA ZAHRA,"kenapa ya aku kan udah ngerjain kuis, tpi kok muncul lagi dan tulisannya kerjakan kuis, nilai ku gak ada, helppp!! 😭😭😭",2,0,4.9.6.1,1/24/2026 15:44,ya udah ngerjain kuis tpi muncul tulis kerja kuis nilai ku gak helppp
c43d7c30-5ead-4810-b5a3-8cded9816c3f,Nuril Qolbi,mantap,5,0,,1/22/2026 9:06,mantap
5a934faa-e2e3-4e07-990b-814182096003,M.Juan Fadillah,"aplikasi gk jelas, sudah 2x kali setiap ingin pengumpulan tugas susah sekali buat upload file nya. bisa sih di atasi pake laptop tapi kalau lagi gk bawa laptop bahaya banget, dan harus konfirmasi ke dosennya itupun kalo dosennya pengertian.",1,0,4.9.7,1/22/2026 7:48,aplikasi x kali kumpul tugas susah upload file nya sih atas pake laptop bawa laptop bahaya banget konfirmasi dosen itu kalo dosen erti
35d0d506-4992-4d3d-8c3c-44d886872b4d,Ahmad Danillah,ini gak tau masalahnya datang dari kampusnya atau emang dari aplikasinya yang dimana mata kuliah yang muncul dibagian menu transkrip tidak lengkap dan nilai IPKnya juga beda dengan yang ada pada menu kemajuan belajar. dan ada mata kuliah yang hilang pada menu kemajuan belajar juga sehingga mengurangi SKS yang ada (saya gak tau ini dari aplikasinya atau kampus) dan masalah lainnya tidak bisa melihat nilai dari periode sebelumnya,2,0,4.9.7,1/20/2026 12:58,gak tau kampus emang aplikasi mana mata kuliah muncul bagi menu transkrip lengkap nilai ipknya beda menu maju ajar mata kuliah hilang menu maju ajar kurang sks gak tau aplikasi kampus nilai periode
725ae0aa-32ed-4ed4-a246-224dd9aee42f,bastiana rumbewas,Aplikasi nya bagus untuk pelajaran,4,0,,1/19/2026 1:10,aplikasi nya bagus ajar
985e6e5f-e906-4ebe-bc14-a781e6e4721b,Rizal Safei,mohon dong untuk di perbaiki daily quest nya di bagian point quiz dan pengumpulan tugas nya gak di diklaim padahal udah ada 2 Minggu saya ngerjainnya tapi masih belum bisa di klaim tolong segera di perbaiki lagi dong 🙏,4,0,4.9.7,1/18/2026 7:31,mohon baik daily quest nya point quiz kumpul tugas nya gak klaim udah minggu ngerjainnya klaim tolong baik
8abb4576-4de2-4510-89fd-c5e5a3ac60c5,Suyati 123,"kenapa edlink tidak bisa mengakses pakek wifi dan tidak bisa ngirim tugas, mohon cepat di perbarui, aplikasi masuk error truss",1,0,,1/16/2026 13:03,edlink akses pakek wifi ngirim tugas mohon cepat baru aplikasi masuk error truss
df78dcb9-0fe5-4ad1-84ec-76e2c8b079c8,Suci Cahyani,"tolong dong admin, kalo ada kendala itu segera di perbaiki. apa lagi kalo sudah banyak yg komplain dan bertanya tanya di kelas Help Desk tapi ga di respon. Makin berkurang nih Kepedulian nya.",3,0,4.9.7,1/15/2026 4:47,tolong admin kalo kendala baik kalo komplain kelas help desk respon kurang nih peduli nya
938ab860-f8fb-4166-a163-6ac0a73d620b,Rusdan Noval Afdala,tolong untuk kuisioner penilaian pengajar di berikan sistem Anonymous karena pada mahasiswa/pelajar bisa saja kedepan nya ditandai oleh pengajar/dosen terkait,3,0,,1/14/2026 7:33,tolong kuisioner nilai ajar sistem anonymous mahasiswapelajar depan nya tanda pengajardosen kait
